,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem1,4423.792690,4468.680133,4302.017906,3878.580760,3809.324067,2443.865830,2440.719281,1490.582940,1489.321819,1700.886253,1727.531633,1932.447850,1872.587293,1360.811232,1393.700816,1375.906633,1340.038993,1329.547517,1352.850769,1310.022546,1335.375794
problem2,91209324.151682,94296758.591998,91734441.473647,83140989.506191,82920881.693504,62063076.853402,58531071.135170,36438111.036705,36599605.416859,37253484.593327,36851138.800219,40367849.365613,38955290.871976,34670125.062577,35434967.641243,35557013.694684,35876442.936394,36334842.836344,35245665.800557,37381016.005879,38561808.572844
problem3,38105.350277,38853.912233,38355.558817,35788.211819,35558.855133,30862.374131,30046.771617,25920.072334,26111.479027,23890.346634,23699.381879,24795.796651,25621.128531,26074.806416,25481.659177,23325.781777,23041.399894,24006.646841,24772.195855,21633.196396,23029.833342
problem4,40632.265386,41068.725442,41423.077269,38391.659168,38639.603710,33987.955021,33569.589119,25707.574741,25869.890915,26686.364367,27154.707480,27837.947373,28038.506422,26054.490763,25850.696106,26448.822041,26313.911225,26941.231987,26542.921612,26441.469939,27109.530436
problem5,10624.694794,10523.379215,10891.295099,10153.471779,10310.225536,10481.171622,10548.751336,11353.987111,11494.300435,14002.245743,14122.281961,16119.866369,16534.718156,17787.603056,19854.429308,11805.205505,11754.130575,9797.457299,10150.572358,8472.511870,9379.929543
problem6,14334246.265562,13674468.597427,13850148.908260,11086676.110970,11432757.971884,6255886.119074,6380261.929738,4826738.964079,4838000.196785,4496223.666498,4774295.149436,4909012.417331,5186709.759230,4856020.353649,5059178.621994,4679684.086104,4605297.826393,4681478.391964,4567516.413467,4360391.211561,4395691.763527
problem7,26154.125956,27511.593981,26793.480099,22532.762460,22666.080679,18019.808879,18428.152927,10664.496023,10918.140521,10117.195130,10209.344526,10166.733581,10169.433757,10090.539428,10157.527422,10165.090154,10093.451604,9775.769767,9863.685994,10245.847012,9734.289196
problem8,2574806.127273,2688448.251577,2694922.775732,2253038.155157,2286841.293031,1400608.742993,1456327.681896,668197.579408,637923.697397,603195.382432,629800.826865,633514.301036,644785.416379,594437.255050,600616.543035,619476.829500,626081.494063,638889.862963,634139.492293,613931.107072,609061.648857
problem9,46447.440130,44638.222625,45877.209780,45750.806481,49024.890947,47254.480032,46209.311126,22572.401639,23431.628763,13083.177075,13873.399345,11974.701421,12309.642510,11916.390668,11937.540056,11783.709045,12044.493932,12726.419478,12633.181176,12999.131466,13022.927731
problem10,208553044.182115,201520116.996916,199275251.602451,157735660.964476,162002584.636308,125635303.053924,126970099.949700,106809487.371286,104218259.841703,111588000.504995,114925724.209863,118093766.850092,117419370.047981,102179608.058073,98709870.609818,92773193.277109,97870219.078985,94778080.753173,91653428.868410,92469131.140804,92920599.313678
problem11,1442063.733664,1445405.071323,1422481.403201,1352285.158511,1406329.467102,1403845.732254,1394974.514555,1474061.366347,1388189.380977,1387071.695951,1414620.393481,1369371.261932,1353029.038970,1385473.907068,1443166.968799,1408440.061903,1433539.073132,1375102.834122,1348989.503930,1398197.690370,1370255.118745
problem12,6022481348.659856,5818615610.380729,5672479067.450473,4791262429.009907,4778036371.881026,3074692545.981474,3047145785.197863,1974704272.448552,1987462722.071572,1885369425.293018,1943844253.521266,2013421272.498287,1995137238.319989,2290246872.014401,2367945275.735424,1835340760.972339,1851089999.773489,1761978129.042115,1836518046.847278,1764834326.122741,1778478251.354757
problem13,86772.313057,86826.564713,87384.463256,81863.449443,80524.537873,69609.715497,71122.621108,60199.538607,59433.522132,44055.690046,44061.012231,44287.011071,43778.538059,45262.638773,44455.598640,41142.343064,41836.604673,42960.314688,41402.920851,41335.308046,41288.150224
problem14,1578.756578,1633.412905,1647.947647,1423.062684,1371.031720,1123.174881,1122.059729,885.089362,890.620378,652.994245,661.607723,697.443386,665.545607,707.332712,708.058610,641.467135,675.724096,677.507703,645.607349,627.394300,651.287243
problem15,44752.919777,44626.924604,45104.816283,40212.933636,39309.878402,33974.986893,33046.106564,27424.859779,27379.650332,30193.424915,30177.380974,30440.040778,31625.485741,28200.688450,27566.944022,25283.808692,25408.255159,24616.755413,24359.347366,27179.741078,26487.681401
problem16,1876.475088,1842.192382,1844.503420,1839.979475,1806.082383,1763.073173,1685.299879,1270.754044,1259.535585,936.505493,942.805390,927.212811,912.513117,931.876565,899.597467,940.692107,935.975415,956.687423,952.293293,1002.505047,996.032732
problem17,408.015733,412.241570,404.623144,388.003654,383.506180,317.836143,315.516571,266.770614,258.795767,290.848360,285.569277,296.112617,294.766599,271.349345,280.827971,281.170543,277.835114,272.946393,278.015234,275.430278,277.832757
problem18,1566.479088,1520.194988,1502.108015,1397.619171,1411.140523,1173.491173,1166.650210,958.676106,968.057234,1057.850121,1083.132512,1113.504067,1105.319814,1192.342594,1170.283260,1063.120584,1056.055294,1024.900488,1048.755648,1030.066601,1005.769516
problem19,295.405230,301.018094,292.928604,304.242818,298.196486,289.542371,293.080187,287.808754,284.380597,269.300345,268.895319,243.985091,251.775536,241.099593,242.202489,265.846442,261.957938,257.935466,256.653807,242.013055,231.750333
problem20,462999.138875,412504.378204,392614.461021,345692.091763,332000.562296,180678.214188,168779.801025,86861.036801,85058.988270,82080.245958,84878.501371,83100.176222,84997.025593,87797.065035,82142.097236,89196.574130,82276.320411,85740.153418,88673.049944,89908.828672,93568.055821
problem21,2826.837950,2755.884666,2762.319767,2636.056313,2626.679543,2061.940693,2085.408499,944.414162,948.055613,896.753799,865.627197,861.576102,848.158193,890.650012,866.558835,867.704986,875.613495,831.483923,844.043142,854.779878,865.423384
problem22,3082.608914,3042.618947,3060.527802,2967.958864,2945.902806,2485.407098,2552.890821,1731.015127,1729.668067,2153.008861,2148.226724,2357.705976,2401.334875,1700.806428,1680.525312,1663.254557,1730.620323,1699.640281,1702.929886,1607.566643,1618.574871
problem23,248.753207,273.199279,260.952985,258.491277,262.568765,242.405101,239.644788,226.271311,235.735205,222.184331,220.232294,183.019806,189.409759,204.764334,211.976832,184.494960,180.884462,178.822530,177.346059,170.331405,171.873185
problem24,22966.099127,22566.913990,23034.549471,22262.453232,22561.020735,20719.184450,21096.724797,18223.471322,17992.049197,18937.947427,18895.149566,18011.918832,17046.546102,17282.239118,16646.478920,17129.050661,17060.177236,16925.988657,17108.569283,16855.618127,17498.849933
